website_id,name,country,national_party
97513,Vicky MAEIJER,Netherlands,Partij voor de Vrijheid 
97198,Mara BIZZOTTO,Italy,Lega Nord 
96993,Lorenzo FONTANA,Italy,Lega Nord 
96981,Franz OBERMAYR,Austria,Freiheitliche Partei Österreichs 
96877,Zoltán BALCZÓ,Hungary,Jobbik Magyarországért Mozgalom 
96661,Krisztina MORVAI,Hungary,Jobbik Magyarországért Mozgalom 
38511,Georg MAYER,Austria,Freiheitliche Partei Österreichs 
30190,Louis ALIOT,France,Front national 
28404,Matteo SALVINI,Italy,Lega Nord 
28210,Marine LE PEN,France,Front national 
21817,Mario BORGHEZIO,Italy,Lega Nord
21331,Sylvie GODDYN,France,Front national 
125684,Philippe LOISEAU,France,Front national 
125029,Hans JANSEN,Netherlands,Partij voor de Vrijheid 
125028,Olaf STUGER,Netherlands,Partij voor de Vrijheid 
125025,Marcel de GRAAFF,Netherlands,Partij voor de Vrijheid 
125024,Barbara KAPPEL,Austria,Freiheitliche Partei Österreichs 
125001,Harald VILIMSKY,Austria,Freiheitliche Partei Österreichs 
124973,Gerolf ANNEMANS,Belgium,Vlaams Belang 
124938,Janice ATKINSON,United Kingdom,United Kingdom Independence Party 
124902,Stanisław ŻÓŁTEK,Poland,Kongres Nowej Prawicy 
124894,Michał MARUSIK,Poland,Kongres Nowej Prawicy 
124869,Gianluca BUONANNO,Italy,Lega Nord 
124771,Dominique BILDE,France,Front national 
124770,Jean-François JALKH,France,Front national 
124769,Sophie MONTEL,France,Front national 
124767,Edouard FERRAND,France,Front national 
124765,Joëlle MÉLIN,France,Front national 
124761,Bernard MONOT,France,Front national 
124760,Nicolas BAY,France,Front national 
124758,Mylène TROSZCZYNSKI,France,Front national 
124757,Steeve BRIOIS,France,Front national 
124753,Marie-Christine BOUTONNET,France,Front national 
124752,Aymeric CHAUPRADE,France,Front national 
124751,Dominique MARTIN,France,Front national 
124750,Mireille D'ORNANO,France,Front national 
124748,Marie-Christine ARNAUTU,France,Front national 
110977,Florian PHILIPPOT,France,Front national 
102887,Béla KOVÁCS,Hungary,Jobbik Magyarországért Mozgalom
